District/Year,2018,2017,2016,2015
Gurdaspur,4733,4606,4654,3356
Pathankot,4018,4066,4049,2727
Amritsar,4866,4948,4478,3914
Tarn Taran,4685,4791,4524,4132
Kapurthala,4842,4922,4259,3996
Jalandhar,5063,4847,4456,4102
SBS Nagar,5003,4925,4720,3712
Hoshiarpur,4337,4124,4078,3623
Rupnagar,4873,4827,4286,4032
SAS Nagar,4968,4707,4647,3959
Ludhiana,5144,5093,4670,4462
Ferozepur,5226,5211,4586,4668
Fazilka,4793,4942,4494,4434
Faridkot,5339,5204,4698,4807
Sri Muktsar Sahib,5251,5130,4634,4362
Moga,5186,5273,4602,4536
Bathinda,5295,5300,4679,4797
Mansa,5176,5125,4641,4472
Sangrur,5552,5557,4802,4809
Barnala,5339,5492,4914,4625
Patiala,5272,5165,4585,4496
Fatehgarh Sahib,5341,5196,4692,4049
Punjab,5077,5046,4583,4304
